tema,autor_año,titulo,venue,doi_isbn,hallazgo_clave,relevancia_gap_miu
metabolic scaling,"Kleiber 1932","Body size and metabolism",Hilgardia 6:315-353,sin DOI (real; vol/pp verificable),"BMR escala ~M^0.74; contradice el 2/3 de superficie/volumen","ancla histórica de la ley 3/4"
metabolic scaling,"West Brown & Enquist 1997","A general model for the origin of allometric scaling laws in biology",Science 276:122-126,10.1126/science.276.5309.122,"deriva el exponente 3/4 desde redes fractales de transporte que llenan el espacio","conexión directa fractales<->metabolismo, núcleo teórico MIU"
metabolic scaling,"Enquist Brown & West 1998","Allometric scaling of plant energetics and population density",Nature 395:163-165,10.1038/25977,"uso de recursos en plantas ~M^3/4; densidad poblacional ~M^-4/3","extiende escalamiento a plantas y ecología poblacional"
metabolic scaling,"Banavar Maritan & Rinaldo 1999","Size and form in efficient transportation networks",Nature 399:130-132,10.1038/20144,"redes de transporte eficientes explican exponentes allométricos sin invocar fractalidad","modelo alternativo a WBE; robustez del escalamiento"
metabolic scaling,"West Brown & Enquist 1999","The fourth dimension of life: fractal geometry and allometric scaling of organisms",Science 284:1677-1679,10.1126/science.284.5420.1677,"redes fractales dotan a la vida de una 4a dimensión efectiva -> escalamiento cuarto-potencia","puente dimensión fractal<->leyes de potencia"
metabolic scaling,"Gillooly et al. 2001","Effects of size and temperature on metabolic rate",Science 293:2248-2251,10.1126/science.1061967,"tasa metabólica = f(masa^3/4, e^-E/kT); acopla cinética bioquímica y allometría","introduce temperatura -> puente termodinámica/metabolismo"
metabolic scaling,"West Brown & Enquist 2001","A general model for ontogenetic growth",Nature 413:628-631,10.1038/35098076,"curva universal de crecimiento adimensional derivada de asignación metabólica","dinámica temporal del escalamiento; crecimiento como atractor"
metabolic scaling,"Damuth 1981","Population density and body size in mammals",Nature 290:699-700,10.1038/290699a0,"densidad ~M^-0.75; regla de equivalencia energética -> energía poblacional independiente del tamaño","invariante de escala emergente a nivel comunidad"
metabolic scaling,"White & Seymour 2003","Mammalian basal metabolic rate is proportional to body mass 2/3",PNAS 100:4046-4049,10.1073/pnas.0436428100,"tras corregir Tb/filogenia/estado digestivo el exponente es 2/3, no 3/4","contra-evidencia clave; disputa el dogma 3/4"
metabolic scaling,"Brown et al. 2004","Toward a metabolic theory of ecology",Ecology 85:1771-1789,10.1890/03-9000,"marco unificador: metabolismo enlaza individuo->ecosistema vía masa y temperatura","teoría integradora interdisciplinar"
metabolic scaling,"Savage et al. 2004","The predominance of quarter-power scaling in biology",Functional Ecology 18:257-282,10.1111/j.0269-8463.2004.00856.x,"meta-análisis: IC de exponentes incluye 3/4 y excluye 2/3 en múltiples taxa","defensa cuantitativa del 3/4 frente a críticas"
metabolic scaling,"Glazier 2005","Beyond the 3/4-power law: variation in the intra- and interspecific scaling of metabolic rate in animals",Biological Reviews 80:611-662,10.1017/S1464793105006834,"el 3/4 no es universal; el exponente varía con taxón, fisiología y ambiente","matiza la universalidad; escalamiento contexto-dependiente"
metabolic scaling,"Kolokotrones et al. 2010","Curvature in metabolic scaling",Nature 464:753-756,10.1038/nature08920,"la relación masa-metabolismo es convexa en log-log: no es ley de potencia pura","resuelve la disputa 2/3 vs 3/4 como artefacto de curvatura"
