tema,autor_año,titulo,venue,doi_isbn,hallazgo_clave,relevancia_gap_miu
"teoría de la información algorítmica","Kolmogorov 1968 (orig. 1965)","Three approaches to the quantitative definition of information","Int. J. Computer Math. 2:157-168","10.1080/00207166808803030","Define la complejidad descriptiva de un objeto como la longitud del programa más corto que lo genera","Fundamento formal de la complejidad algorítmica; ancla del gap MIU sobre K_i vs D_f"
"teoría de la información algorítmica","Solomonoff 1964","A formal theory of inductive inference, Part I","Information and Control 7(1):1-22","10.1016/S0019-9958(64)90223-2","Introduce la probabilidad algorítmica como base de la inferencia inductiva universal","Precursor de MDL/Bayes algorítmico; conecta con la regla epistémica SÉ/INFIERO/CONJETURO"
"teoría de la información algorítmica","Chaitin 1966","On the length of programs for computing finite binary sequences","J. ACM 13(4):547-569","10.1145/321356.321363","Desarrolla independientemente la complejidad de programa mínimo para secuencias binarias finitas","Tercera derivación independiente de Kolmogorov complexity; refuerza robustez del concepto"
"teoría de la información algorítmica","Wallace & Boulton 1968","An information measure for classification","Computer Journal 11(2):185-194","10.1093/comjnl/11.2.185","Propone la longitud mínima de mensaje (MML) para comparar clasificaciones estadísticas","Precursor directo de MDL aplicado a selección de modelos; relevante para auditar K_i como modelo"
"teoría de la información algorítmica","Rissanen 1978","Modeling by shortest data description","Automatica 14(5):465-471","10.1016/0005-1098(78)90005-5","Formaliza el principio MDL: el mejor modelo minimiza la descripción conjunta de datos y modelo","Base metodológica para evaluar si K_i aporta descripción no-redundante frente a D_f"
"teoría de la información algorítmica","Barron, Rissanen & Yu 1998","The minimum description length principle in coding and modeling","IEEE Trans. Inf. Theory 44(6):2743-2760","10.1109/18.720554","Revisión formal de MDL como principio de codificación y modelado estadístico","Marco de referencia para diagnosticar redundancia/circularidad tipo K_i=f(D_f)"
"teoría de la información algorítmica","Vitányi & Li 2000","Minimum description length induction, Bayesianism, and Kolmogorov complexity","IEEE Trans. Inf. Theory 46(2):446-464","10.1109/18.825807","Relaciona formalmente el enfoque bayesiano con MDL vía complejidad de Kolmogorov ideal","Formaliza cuándo una métrica derivada (como K_i) no añade información sobre el modelo base"
"teoría de la información algorítmica","Vereshchagin & Vitányi 2004","Kolmogorov's structure functions and model selection","IEEE Trans. Inf. Theory 50(12):3265-3290","10.1109/TIT.2004.838346","Introduce funciones de estructura para separar la parte 'estructural' de la 'aleatoria' de un dato","Herramienta formal para verificar si K_i captura estructura independiente o es ruido determinista de D_f"
"teoría de la información algorítmica","Cilibrasi & Vitányi 2005","Clustering by compression","IEEE Trans. Inf. Theory 51(4):1523-1545","10.1109/TIT.2005.844059","Define distancia de información normalizada (NID) aproximable con compresores reales para clustering universal","Método práctico y falsificable para medir similitud/complejidad sin pasar por K_i; alternativa aplicable al corpus"
"teoría de la información algorítmica","Li & Vitányi 2019 (4a ed.)","An Introduction to Kolmogorov Complexity and Its Applications","Springer, Texts in Computer Science","ISBN 978-3-030-11297-4","Texto de referencia completo: complejidad de Kolmogorov, MDL, probabilidad algorítmica, aplicaciones","Fuente canónica para auditar rigurosamente cualquier fórmula tipo K_i propuesta en el corpus MIU"
"teoría de la información algorítmica","Grünwald 2007","The Minimum Description Length Principle","MIT Press","ISBN 978-0-262-07281-6","Monografía de referencia sobre MDL: selección de modelos, sobreajuste, dos partes de código","Marco riguroso para distinguir métricas que describen datos de las que solo re-parametrizan otra (caso K_i)"
